Stage 1 of 3 (L): Inserted 18083 entries in 0.446768 seconds.
Stage 2 of 3 (B): Inserted 13503 entries in 35.1348 seconds.
Stage 3 of 3 (H): Inserted 10709 entries in 12.085 seconds.
"Saved Space","Number Of Duplicates","File Size","List of Names"
90930576,1,90930576,/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqld-debug.a;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqld-debug.a
85943344,1,85943344,/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqld.a;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqld.a
30037320,3,10012440,/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.a;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.a;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.a;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.a
26445888,7,3777984,/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.18.dylib;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.18.dylib;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.18.dylib;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.18.dylib;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.18.dylib;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.18.dylib;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.18.dylib;/usr/local/mysql-5.5.28-osx10.6-x86_64/lib/libmysqlclient.18.dylib
14681200,1,14681200,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysqld-debug;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysqld-debug
13619002,1,13619002,/usr/local/mysql-5.5.28-osx10.6-x86_64/docs/mysql.info;/usr/local/mysql-5.5.28-osx10.6-x86_64/docs/mysql.info
12650304,1,12650304,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysqld;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysqld
12524264,1,12524264,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_client_test_embedded;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_client_test_embedded
12483024,1,12483024,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_embedded;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_embedded
12326128,1,12326128,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysqltest_embedded;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysqltest_embedded
